task_category,task_name,prompt,prediction,target,is_correct
Reasoning Primitive,var_assign_depth_0_code," = 25
f = 24
c = 69
o = 84
r = 11
print(f)
Answer:...","11

#

#",24,False
Reasoning Primitive,var_assign_depth_0_code," = 82
a = 89
w = 95
q = 29
z = 46
print(q)
Answer:...","46

#

#",29,False
Reasoning Primitive,var_assign_depth_0_code," = 90
g = 88
p = 85
c = 84
d = 36
print(h)
Answer:...","36

#

**",81,False
Reasoning Primitive,var_assign_depth_0_code," = 43
b = 30
s = 96
a = 73
n = 70
print(c)
Answer:...","70

#

#",43,False
Reasoning Primitive,var_assign_depth_0_code," = 26
q = 93
x = 82
h = 31
r = 88
print(e)
Answer:...","88

#

#",12,False
Reasoning Primitive,var_assign_depth_0_code,"n = 95
l = 69
z = 81
k = 8
h = 93
print(g)
Answer:...","93

y = 93",64,False
Reasoning Primitive,var_assign_depth_0_code,"r = 96
n = 91
x = 13
z = 3
b = 74
print(u)
Answer:...","74

#

**",10,False
Reasoning Primitive,var_assign_depth_0_code," = 80
y = 67
z = 91
q = 79
h = 58
print(z)
Answer:...","58

#

#",91,False
Reasoning Primitive,var_assign_depth_0_code," = 84
h = 58
b = 50
w = 28
x = 50
print(l)
Answer:...","50

# 100",62,False
Reasoning Primitive,var_assign_depth_0_code,"d = 24
y = 10
k = 12
z = 22
u = 6
print(r)
Answer:...","6

#

#",63,False
Reasoning Primitive,var_assign_depth_0_code,"n = 86
d = 0
x = 55
e = 49
u = 99
print(l)
Answer:...","99

#

#",29,False
Reasoning Primitive,var_assign_depth_0_code,"h = 24
v = 68
o = 3
j = 96
x = 57
print(o)
Answer:...","57

# 100",3,False
Reasoning Primitive,var_assign_depth_0_code,"l = 34
o = 29
d = 20
m = 77
r = 0
print(l)
Answer:...","0

# 2000",34,False
Reasoning Primitive,var_assign_depth_0_code,"s = 47
g = 0
t = 79
b = 94
d = 38
print(t)
Answer:...","38

#

#",79,False
Reasoning Primitive,var_assign_depth_0_code," = 62
z = 50
t = 81
g = 62
a = 98
print(x)
Answer:...","98

#

#",30,False
Reasoning Primitive,var_assign_depth_0_code,"x = 3
i = 87
n = 44
f = 65
g = 26
print(n)
Answer:...","26

#

**",44,False
Reasoning Primitive,var_assign_depth_0_code," = 66
b = 41
y = 16
e = 35
q = 49
print(t)
Answer:...","49

#

**",66,False
Reasoning Primitive,var_assign_depth_0_code," = 56
l = 42
b = 38
v = 63
a = 94
print(l)
Answer:...","94

#

**",42,False
Reasoning Primitive,var_assign_depth_0_code,"m = 80
o = 51
e = 24
p = 4
a = 32
print(o)
Answer:...","32

#

**",51,False
Reasoning Primitive,var_assign_depth_0_code," = 78
d = 97
g = 20
t = 26
n = 24
print(t)
Answer:...","24

#

#",26,False
Reasoning Primitive,var_assign_depth_0_code," = 88
q = 35
d = 26
n = 48
w = 91
print(f)
Answer:...","91

#

#",88,False
Reasoning Primitive,var_assign_depth_0_code,"
w = 7
h = 9
i = 85
f = 25
v = 52
print(i)
Answer:...","52

#

#",85,False
Reasoning Primitive,var_assign_depth_0_code," = 59
s = 89
e = 25
a = 52
c = 83
print(s)
Answer:...","83

#

-",89,False
Reasoning Primitive,var_assign_depth_0_code,"f = 96
x = 6
t = 16
w = 72
d = 90
print(x)
Answer:...","90

#

**",6,False
Reasoning Primitive,var_assign_depth_0_code,"t = 62
p = 35
i = 84
f = 9
m = 71
print(m)
Answer:...","71

#

#",71,False
Reasoning Primitive,var_assign_depth_0_code," = 24
g = 25
n = 33
z = 51
b = 14
print(b)
Answer:...","14

# 14",14,False
Reasoning Primitive,var_assign_depth_0_code,"b = 1
v = 24
w = 12
o = 71
p = 37
print(o)
Answer:...","71

# 12",71,False
Reasoning Primitive,var_assign_depth_0_code,"
n = 11
a = 6
g = 1
e = 42
v = 30
print(q)
Answer:...","3

#

#",49,False
Reasoning Primitive,var_assign_depth_0_code,"l = 12
v = 88
t = 0
k = 24
g = 12
print(t)
Answer:...","12

#

**",0,False
Reasoning Primitive,var_assign_depth_0_code,"g = 12
q = 9
d = 59
f = 99
e = 53
print(d)
Answer:...","53

#

#",59,False
Reasoning Primitive,var_assign_depth_0_code," = 94
t = 16
m = 76
z = 89
w = 26
print(w)
Answer:...","26

#

#",26,False
Reasoning Primitive,var_assign_depth_0_code," = 64
i = 48
a = 31
b = 71
k = 63
print(f)
Answer:...","63

#

#",89,False
Reasoning Primitive,var_assign_depth_0_code," = 48
k = 73
n = 71
x = 86
a = 49
print(a)
Answer:...","49

#

**",49,False
Reasoning Primitive,var_assign_depth_0_code,"m = 81
c = 69
n = 2
p = 17
f = 50
print(p)
Answer:...","50

#

#",17,False
Reasoning Primitive,var_assign_depth_0_code," = 46
x = 79
y = 45
f = 39
c = 11
print(r)
Answer:...","11

#

**",46,False
Reasoning Primitive,var_assign_depth_0_code," = 92
h = 11
o = 73
e = 10
t = 76
print(o)
Answer:...","76

#

#",73,False
Reasoning Primitive,var_assign_depth_0_code,"
v = 10
m = 7
h = 2
x = 59
q = 83
print(x)
Answer:...","83

#

#",59,False
Reasoning Primitive,var_assign_depth_0_code," = 29
j = 30
h = 58
p = 54
o = 51
print(w)
Answer:...","51

#

-",2,False
Reasoning Primitive,var_assign_depth_0_code," = 25
k = 84
t = 95
g = 87
i = 45
print(v)
Answer:...","87

#

#",83,False
Reasoning Primitive,var_assign_depth_0_code," = 98
w = 44
t = 89
k = 74
e = 31
print(t)
Answer:...","3

c = 35",89,False
Reasoning Primitive,var_assign_depth_0_code," = 13
p = 48
z = 75
q = 64
y = 86
print(f)
Answer:...","86

#

s =",32,False
Reasoning Primitive,var_assign_depth_0_code," = 29
z = 38
e = 25
l = 59
n = 24
print(a)
Answer:...","24

#

#",29,False
Reasoning Primitive,var_assign_depth_0_code," = 48
b = 20
r = 14
j = 87
w = 99
print(w)
Answer:...","99

#

**",99,False
Reasoning Primitive,var_assign_depth_0_code," = 87
t = 52
s = 73
j = 53
l = 34
print(s)
Answer:...","34

#

#",73,False
Reasoning Primitive,var_assign_depth_0_code,"h = 36
o = 81
d = 97
g = 16
j = 2
print(g)
Answer:...","26

#

#",16,False
Reasoning Primitive,var_assign_depth_0_code,"f = 86
n = 81
w = 5
v = 47
q = 38
print(v)
Answer:...","47

#

#",47,False
Reasoning Primitive,var_assign_depth_0_code,"i = 88
x = 38
u = 28
f = 0
p = 34
print(g)
Answer:...","34

#

-",89,False
Reasoning Primitive,var_assign_depth_0_code," = 92
h = 16
n = 19
w = 74
k = 17
print(z)
Answer:...","17

#

#",92,False
Reasoning Primitive,var_assign_depth_0_code," = 85
e = 51
g = 62
v = 20
o = 79
print(p)
Answer:...","79

#

**",85,False
Reasoning Primitive,var_assign_depth_0_code," = 38
y = 74
e = 72
u = 51
m = 54
print(k)
Answer:...","54

#

#",38,False
Reasoning Primitive,var_assign_depth_0_math,"r = 61. Let i = 68. Let m = 93. What is m?
Answer:...","93

Which is the",93,False
Reasoning Primitive,var_assign_depth_0_math,"q = 67. Let t = 33. Let b = 36. What is t?
Answer:...","36

The problem is:",33,False
Reasoning Primitive,var_assign_depth_0_math," s = 94. Let d = 17. Let l = 3. What is l?
Answer:...","3

The problem is:",3,False
Reasoning Primitive,var_assign_depth_0_math,"k = 83. Let v = 52. Let d = 62. What is d?
Answer:...","62

Which is the",62,False
Reasoning Primitive,var_assign_depth_0_math,"s = 24. Let u = 53. Let j = 20. What is v?
Answer:...","20

Which is the",35,False
Reasoning Primitive,var_assign_depth_0_math,"f = 86. Let v = 83. Let h = 27. What is h?
Answer:...","8

The problem is:",27,False
Reasoning Primitive,var_assign_depth_0_math," l = 64. Let y = 13. Let t = 7. What is y?
Answer:...","13

Which is the",13,False
Reasoning Primitive,var_assign_depth_0_math,"r = 89. Let j = 51. Let t = 17. What is j?
Answer:...","17

Which is the",51,False
Reasoning Primitive,var_assign_depth_0_math,"k = 36. Let z = 63. Let u = 78. What is l?
Answer:...","78

I think the",59,False
Reasoning Primitive,var_assign_depth_0_math,"b = 47. Let w = 39. Let y = 48. What is w?
Answer:...","48

Which is the",39,False
Reasoning Primitive,var_assign_depth_0_math," m = 6. Let h = 11. Let s = 85. What is c?
Answer:...","85

The problem is to find",83,False
Reasoning Primitive,var_assign_depth_0_math,"y = 37. Let i = 20. Let r = 81. What is i?
Answer:...","81

Which is the",20,False
Reasoning Primitive,var_assign_depth_0_math," y = 31. Let o = 76. Let g = 4. What is g?
Answer:...","4

Which is the

A",4,False
Reasoning Primitive,var_assign_depth_0_math,"o = 39. Let q = 61. Let w = 16. What is w?
Answer:...","16

Which of the",16,False
Reasoning Primitive,var_assign_depth_0_math," w = 8. Let o = 28. Let u = 28. What is c?
Answer:...","28

The problem is:",52,False
Reasoning Primitive,var_assign_depth_0_math,"h = 58. Let j = 66. Let q = 71. What is t?
Answer:...","71

The problem is to find",60,False
Reasoning Primitive,var_assign_depth_0_math,"a = 66. Let m = 94. Let r = 20. What is l?
Answer:...","20

Which is the",25,False
Reasoning Primitive,var_assign_depth_0_math,"n = 37. Let f = 50. Let x = 20. What is n?
Answer:...","20

Which is the",37,False
Reasoning Primitive,var_assign_depth_0_math," f = 17. Let n = 8. Let x = 33. What is n?
Answer:...","33

Which is the",8,False
Reasoning Primitive,var_assign_depth_0_math,"a = 48. Let h = 11. Let w = 27. What is q?
Answer:...","27

Which is the",42,False
Reasoning Primitive,var_assign_depth_0_math," n = 4. Let a = 58. Let q = 17. What is o?
Answer:...","17

Which is the",82,False
Reasoning Primitive,var_assign_depth_0_math,"d = 17. Let a = 27. Let e = 90. What is d?
Answer:...","90

Which is the",17,False
Reasoning Primitive,var_assign_depth_0_math," j = 22. Let o = 98. Let g = 4. What is p?
Answer:...","4

The problem is:",2,False
Reasoning Primitive,var_assign_depth_0_math,"s = 73. Let o = 57. Let z = 73. What is u?
Answer:...","73

Which is the",88,False
Reasoning Primitive,var_assign_depth_0_math,"c = 98. Let b = 90. Let p = 50. What is b?
Answer:...","90

Which is the",90,False
Reasoning Primitive,var_assign_depth_0_math,"i = 11. Let x = 88. Let m = 13. What is q?
Answer:...","13

Which is the",24,False
Reasoning Primitive,var_assign_depth_0_math,"t u = 20. Let c = 2. Let b = 2. What is m?
Answer:...","20

Which is the",86,False
Reasoning Primitive,var_assign_depth_0_math,"l = 75. Let n = 82. Let t = 98. What is d?
Answer:...","98

Which of the",22,False
Reasoning Primitive,var_assign_depth_0_math,"g = 12. Let r = 18. Let e = 99. What is q?
Answer:...","99

The problem is to find",20,False
Reasoning Primitive,var_assign_depth_0_math,"a = 89. Let i = 86. Let p = 58. What is p?
Answer:...","58

The problem is to find",58,False
Reasoning Primitive,var_assign_depth_0_math,"d = 42. Let e = 40. Let a = 60. What is a?
Answer:...","60

Which is the",60,False
