task_type,difficulty,test_input,expected_answer,prediction,is_correct,test_id,ut_steps,full_response,generation_time,generated_tokens,input_tokens,is_degenerate
n_ary,2_ops,705 + 862 =,1567,1579,False,58987353,2,"[FINAL]  1579

**Final Answer**",10.413026716000104,11,467,False
n_ary,2_ops,969 + 141 =,1110,1050,False,053fd995,2,"[FINAL]  1050

**Final Answer**
",10.413026716000104,12,467,False
n_ary,2_ops,661 + 688 =,1349,1357,False,912f4360,2,"[FINAL]  1357

**Final Answer**",10.413026716000104,11,467,False
n_ary,2_ops,488 + 411 =,899,1099,False,49dd999e,2,"[FINAL]  1099

**Final Answer**
",10.413026716000104,12,467,False
n_ary,2_ops,813 + 457 =,1270,1300,False,ddf0b3c2,2,"[FINAL]  1300

**Final Answer**
",10.413026716000104,12,467,False
n_ary,2_ops,338 + 945 =,1283,1337,False,c8abafb8,2,"[FINAL]  1337

**Final Answer**",10.413026716000104,11,467,False
n_ary,2_ops,699 + 504 =,1203,1242,False,452865e0,2,"[FINAL]  1242

**Final Answer**",10.413026716000104,11,467,False
n_ary,2_ops,080 + 696 =,776,1560,False,d3788a91,2,"[FINAL]  1560

**Final Answer**
",10.413026716000104,12,467,False
n_ary,2_ops,560 + 323 =,883,1083,False,6f880f22,2,"[FINAL]  1083

**Final Answer**",10.538994694000166,11,467,False
n_ary,2_ops,577 + 558 =,1135,1135,True,73a6eb40,2,"[FINAL]  1135

**Final Answer**",10.538994694000166,11,467,False
n_ary,2_ops,208 + 651 =,859,1440,False,8114f0ac,2,"[FINAL]  1440

**Final Answer**
",10.538994694000166,12,467,False
n_ary,2_ops,331 + 331 =,662,662,True,b8a029f9,2,"[FINAL]  662

**Final Answer:**",10.538994694000166,10,467,False
n_ary,2_ops,251 + 604 =,855,1155,False,f1ce657e,2,"[FINAL]  1155

**Final Answer**
",10.538994694000166,12,467,False
n_ary,2_ops,756 + 812 =,1568,1576,False,44225b16,2,"[FINAL]  1576

**Final Answer**",10.538994694000166,11,467,False
n_ary,2_ops,294 + 498 =,792,1042,False,737d2114,2,"[FINAL]  1042

**Final Answer**
",10.538994694000166,12,467,False
n_ary,2_ops,985 + 469 =,1454,1459,False,49de1c35,2,"[FINAL]  1459

**Final Answer**
",10.538994694000166,12,467,False
n_ary,2_ops,595 + 058 =,653,1640,False,85cd4229,2,"[FINAL]  1640

**Final Answer**
",10.698119274999954,12,467,False
n_ary,2_ops,872 + 604 =,1476,1418,False,39568a4c,2,"[FINAL]  1418

**Final Answer**",10.698119274999954,11,467,False
n_ary,2_ops,211 + 346 =,557,707,False,b8386b95,2,"[FINAL]  707

**Final Answer:**",10.698119274999954,10,467,False
n_ary,2_ops,892 + 453 =,1345,1331,False,55860f93,2,"[FINAL]  1331

**Final Answer**
",10.698119274999954,12,467,False
n_ary,2_ops,914 + 494 =,1408,1445,False,77dcea73,2,"[FINAL]  1445

**Final Answer**
",10.698119274999954,12,467,False
n_ary,2_ops,216 + 703 =,919,1000,False,e459431f,2,"[FINAL]  1000

**Final Answer**
",10.698119274999954,12,467,False
n_ary,2_ops,840 + 829 =,1669,1799,False,7ad470fd,2,"[FINAL]  1799

**Final Answer**",10.698119274999954,11,467,False
n_ary,2_ops,225 + 271 =,496,486,False,41737014,2,"[FINAL]  486

**Final Answer:**",10.698119274999954,10,467,False
n_ary,2_ops,975 + 109 =,1084,1095,False,896eda47,2,"[FINAL]  1095

**Final Answer**
",11.493727097999908,12,467,False
n_ary,2_ops,660 + 645 =,1305,1105,False,8d23dd9d,2,"[FINAL]  1105

**Final Answer**",11.493727097999908,11,467,False
n_ary,2_ops,782 + 615 =,1397,1497,False,84a2b917,2,"[FINAL]  1497

**Final Answer**",11.493727097999908,11,467,False
n_ary,2_ops,886 + 356 =,1242,1234,False,a276828e,2,"[FINAL]  1234

**Final Answer**",11.493727097999908,11,467,False
n_ary,2_ops,404 + 559 =,963,1043,False,ac92e2df,2,"[FINAL]  1043

**Final Answer**",11.493727097999908,11,467,False
n_ary,2_ops,039 + 841 =,880,1339,False,2c062380,2,"[FINAL]  1339

**Final Answer**
",11.493727097999908,12,467,False
n_ary,2_ops,169 + 085 =,254,169,False,ec58ebee,2,[FINAL]  169 + 085 + 072 =,11.493727097999908,15,467,False
